ID,ED50_1,ED50_2,Species
Site1_195,40.82,36.64,Ac
Site1_176,37.57,34.53,Ac
Site1_281,39.15,34.98,Ac
Site1_168,39.25,35.88,Ac
Site1_300,38.19,36.08,Ac
Site1_170,35.94,34.57,Ac
Site1_49,37.77,35.14,Ac
Site1_217,39.94,36.67,Ac
Site1_299,37.49,35.40,Ac
Site1_211,39.73,36.83,Ac
Site1_215,39.86,35.30,Ac
Site1_290,38.35,33.75,Ac
Site1_283,33.14,36.35,Ac
Site1_292,37.87,35.48,Ac
Site2_260,37.95,35.77,Ac
Site2_451,37.97,35.37,Ac
Site2_415,38.53,36.53,Ac
Site2_293,39.35,36.61,Ac
Site2_404,40.21,38.95,Ac
Site2_432,37.60,34.25,Ac
Site2_448,38.88,33.97,Ac
Site2_424,38.11,36.73,Ac
Site2_208,36.54,36.76,Ac
Site2_218,37.54,35.92,Ac
Site2_206,34.11,33.27,Ac
Site2_210,38.12,39.62,Ac
Site2_406,36.40,36.55,Ac
214,40.27,40.34,Af
113,39.62,38.13,Af
207,40.36,39.50,Af
205,39.43,39.31,Af
120,38.55,39.33,Af
178,38.41,38.59,Af
175,37.73,39.67,Af
180,38.50,37.75,Af
161,39.05,40.67,Af
171,39.61,39.41,Af
197,38.49,43.82,Af
169,39.21,38.04,Af
273,40.06,38.58,Af
269,39.63,38.26,Af
268,38.96,39.80,Af
271,38.65,38.49,Af
443,38.05,39.61,Af
450,38.82,39.42,Af
452,39.85,37.96,Af
458,39.89,37.86,Af
275,40.84,39.33,Af
272,39.77,43.85,Af
425,39.73,38.37,Af
453,38.52,39.86,Af
